Generator loss,Critic loss,Gradient Penalty loss
4.6203365,-0.7624027,0.27191368
5.996087,-0.6840864,0.18927848
6.6280594,-0.98467773,0.33198535
6.0036335,-0.8904045,0.25647858
1.8088524,-0.94215107,0.2284658
5.364578,-0.73745626,0.31445912
4.954468,-0.76677966,0.2269092
5.8138595,-0.6603339,0.24906199
1.0572248,-0.7341735,0.17436369
2.3666027,-0.71563303,0.30991012
3.9714966,-0.83211815,0.23891702
0.8684124,-0.53940445,0.25001815
1.3084236,-0.49446785,0.16331911
4.883353,-0.6876423,0.19024807
5.48292,-0.93049437,0.18416588
2.9583397,-0.71597964,0.17910911
4.811018,-0.6619805,0.144413
3.7363932,-0.4448895,0.1119874
3.482385,-0.78514767,0.18577327
2.332306,-0.5086485,0.12175113
4.802414,-0.57118225,0.2048945
3.4695616,-0.66664964,0.14216642
1.899698,-0.511599,0.16107759
3.9717255,-0.65267634,0.1874355
2.0854008,-0.5709851,0.15986528
3.835727,-0.82125425,0.21055035
-0.23626173,-0.70334524,0.15449294
5.4004884,-0.62426335,0.13610508
5.18033,-0.5498234,0.12494393
3.1180673,-0.5558445,0.16614443
1.4858308,-0.38936883,0.17093253
1.0484902,-0.46413273,0.12514496
1.621387,-0.67776436,0.25771597
2.4375572,-0.6968696,0.14769763
2.5281684,-0.37704718,0.14698339
5.480924,-0.56264704,0.15150237
3.8585854,-0.57958275,0.14270172
1.730542,-0.39994338,0.22256051
3.3584619,-0.36608702,0.14048685
1.7857511,-0.39844158,0.10511028
1.8213521,-0.61053413,0.14167407
3.3652318,-0.5649062,0.14576596
0.88355845,-0.54068804,0.19649136
1.9131936,-0.86254174,0.1836752
3.092137,-0.6332441,0.14852905
-1.2537565,-0.30765253,0.16466065
3.389801,-0.5191859,0.1901722
2.6105206,-0.5003278,0.11931307
2.564852,-0.36336574,0.0987655
0.6370188,-0.5363498,0.1352408
2.2993488,-0.7381317,0.17549105
0.6187482,-0.39371908,0.07885294
-2.5493631,-0.23855431,0.122188285
3.7072792,-0.27145782,0.1662389
1.1519806,-0.434164,0.12884206
0.71569544,-0.39424664,0.12716998
0.842051,-0.37737393,0.10414434
4.1592894,-0.38462856,0.116846085
1.7241998,-0.17100243,0.18127662
3.244,-0.39973244,0.10711218
-0.6609147,-0.67693394,0.19032559
-0.45553434,-0.5178156,0.11261834
1.9725645,-0.50596356,0.13201247
1.1647607,-0.3792197,0.12804897
-0.36249557,-0.27311265,0.11717799
-0.59395117,-0.5873113,0.15233216
-3.1060345,-0.49545276,0.11681254
-0.009828448,-0.58974785,0.13513789
-1.7349832,-0.46251613,0.13574237
1.9695121,-0.48449793,0.116767734
2.268198,-0.8018899,0.15250991
-1.3024207,-0.42125958,0.13900566
